taxon	taxID
Clavulariidae	86519
Cletodidae	162079
Climacospheniaceae	449128
Clinidae	57768
Clionaidae	76784
Clionidae	71514
Clostridiaceae	31979
Clupeidae	55118
Cobitidae	7982
Coccodiscidae	299202
Coccolithaceae	418933
Cocconeidaceae	216714
Cocculinidae	69561
Codiaceae	3131
Codonellidae	180938
Codonellopsidae	211020
Coelodendridae	238787
Coelosphaeridae	283421
Colaconemataceae	658649
Colatooeciidae	2865348
Colepidae	6002
Colidae	2899604
Colloniidae	1756887
Collozoidae	413936
Colomastigidae	371485
Colomastigoidea	2692375
Colossendeidae	61972
Colubrariidae	2831796
Columbellidae	74056
Colwelliaceae	267889
Comamonadaceae	80864
Comatulidae	106121
Comesomatidae	129877
Condylanthidae	1742633
Conexibacteraceae	320583
Congridae	7941
Conoidea	37797
Convolutidae	31268
Coralliidae	44185
Corallimorphidae	44296
Corallinaceae	31396
Corallistidae	73792
Corbulidae	52623
Corellidae	71175
Corethraceae	49241
Coriobacteriaceae	84107
Cornulariidae	723795
Coronarctidae	1785946
Coronulidae	37895
Corophiidae	371451
Corophiidira	1732207
Corophioidea	82098
Corycaeidae	749182
Corymorphidae	264056
Corynebacteriaceae	1653
Corynidae	6077
Coryphaenidae	27766
Coryphellidae	2059233
Corystidae	331393
Corystoidea	1343474
Coscinodiscaceae	38747
Cossuridae	273013
Costellariidae	604279
Cottidae	8092
Crambeidae	283433
Cranchiidae	34560
Crangonidae	98081
Crangonoidea	115585
Craniidae	33499
Cranioidea	115368
Crassatelloidea	278203
Crellidae	252959
Creseidae	356495
Cressidae	1732323
Cribrilinidae	97250
Cribrilinoidea	193236
Crisiidae	97266
Cruoriaceae	257559
Cryomorphaceae	246874
Cryptocelidae	1641607
Cryptosulidae	558762
Ctenochelidae	464347
Cucumariidae	36325
Cuninidae	168730
Cupuladriidae	97254
Cushmanideidae	182586
Cuspidariidae	61328
Cutleriaceae	74473
Cyaneidae	27802
Cyatholaimidae	73920
Cyclobacteriaceae	563798
Cyclopoida incertae sedis	298461
Cyclopteridae	8101
Cycloteuthidae	61688
Cylichnidae	216315
Cylichnoidea	2597112
Cylindroleberididae	178857
Cymatiidae	2483521
Cymatosiraceae	49244
Cymbellaceae	216743
Cymbuliidae	649108
Cymodoceaceae	25926
Cymothoidae	142082
Cynoglossidae	30947
Cypraeidae	69557
Cypraeoidea	69556
Cypridinidae	6672
Cypridinoidea	84323
Cypridoidea	84329
Cyprinidae	7953
Cyprinodontidae	8076
Cyproideidae	-32076
Cyrenoidea	1176408
Cyrtostrombidiidae	1537142
Cystiscidae	2802831
Cystobacter	42
Cystocloniaceae	31412
Cytaeididae	413643
Cytherellidae	116577
Cytheridae	182575
Cytherideidae	163706
Cytheroidea	182511
Cytheruridae	182548
Cytophagaceae	89373
Cyttarocylididae	1176357
Dactylopteridae	94922
Dactylopusiidae	512260
Dajidae	330541
Dakuidae	996760
Dalatiidae	117914
Darcythompsoniidae	610291
Darwinellidae	119425
Dasyaceae	35164
Dasyatidae	30469
Dasycladaceae	3135
Delesseriaceae	31386
Delphinidae	9726
Dendrodorididae	71304
Dendronotidae	71300
Dendrophylliidae	44299
Dentaliidae	39426
Derbesiaceae	33105
Dermabacteraceae	85020
Dermochelyidae	27792
Desmacellidae	283985
Desmacididae	698787
Desmarestiaceae	31338
Desmidiaceae	31314
Desmodoridae	74795
Desmodoroidea	2301103
Desmopteridae	749189
Desmoscolecidae	130200
Desmoscolecoidea	2301106
Desmosomatidae	263155
Desulfobacteraceae	213119
Desulfobulbaceae	213121
Desulfohalobiaceae	213117
Desulfovibrionaceae	194924
Desulfurellaceae	117942
Desulfuromonadaceae	213421
Dexaminidae	1352100
