id	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species
MBPK_000002997	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000003365	COInr	0							COInr-WO_Insecta	0							COInr_Med	5	Mollusca_6447	Bivalvia_6544	Mytilida_6546	Mytilidae_6547	Musculus_112137		COInr_Med_plus	5	Mollusca_6447	Bivalvia_6544	Mytilida_6546	Mytilidae_6547	Musculus_112137	
MBPK_000003394	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000003452	COInr	5	Porifera_6040	Demospongiae_6042	Dendroceratida_119424	Halisarcidae_253170	Halisarca_253171		COInr-WO_Insecta	5	Porifera_6040	Demospongiae_6042	Dendroceratida_119424	Halisarcidae_253170	Halisarca_253171		COInr_Med	5	Porifera_6040	Demospongiae_6042	Dendroceratida_119424	Halisarcidae_253170	Halisarca_253171		COInr_Med_plus	5	Porifera_6040	Demospongiae_6042	Dendroceratida_119424	Halisarcidae_253170	Halisarca_253171	
MBPK_000003563	COInr	2	Rhodophyta_2763	Florideophyceae_2806					COInr-WO_Insecta	2	Rhodophyta_2763	Florideophyceae_2806					COInr_Med	6	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017	Peyssonneliaceae_173455	Peyssonnelia_173456	Peyssonnelia_atropurpurea_339597	COInr_Med_plus	6	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017	Peyssonneliaceae_173455	Peyssonnelia_173456	Peyssonnelia_atropurpurea_339597
MBPK_000003710	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000003755	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000003815	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000003993	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004042	COInr	6	Mollusca_6447	Gastropoda_6448	Trochida_2315720	Trochidae_6466	Jujubinus_434033	Jujubinus_ruscurianus_1955516	COInr-WO_Insecta	6	Mollusca_6447	Gastropoda_6448	Trochida_2315720	Trochidae_6466	Jujubinus_434033	Jujubinus_ruscurianus_1955516	COInr_Med	6	Mollusca_6447	Gastropoda_6448	Trochida_2315720	Trochidae_6466	Jujubinus_434033	Jujubinus_ruscurianus_1955516	COInr_Med_plus	6	Mollusca_6447	Gastropoda_6448	Trochida_2315720	Trochidae_6466	Jujubinus_434033	Jujubinus_ruscurianus_1955516
MBPK_000004314	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004352	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004443	COInr	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382	COInr-WO_Insecta	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382	COInr_Med	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382	COInr_Med_plus	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382
MBPK_000004592	COInr	3	Cnidaria_6073	Anthozoa_6101	Actiniaria_6103				COInr-WO_Insecta	3	Cnidaria_6073	Anthozoa_6101	Actiniaria_6103				COInr_Med	5	Cnidaria_6073	Anthozoa_6101	Actiniaria_6103	Metridiidae_37511	Metridium_6115		COInr_Med_plus	5	Cnidaria_6073	Anthozoa_6101	Actiniaria_6103	Metridiidae_37511	Metridium_6115	
MBPK_000004623	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004752	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004785	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004879	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004891	COInr	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812		COInr-WO_Insecta	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812		COInr_Med	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812		COInr_Med_plus	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812	
MBPK_000004951	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000004955	COInr	3	Rhodophyta_2763	Florideophyceae_2806	Halymeniales_50289				COInr-WO_Insecta	3	Rhodophyta_2763	Florideophyceae_2806	Halymeniales_50289				COInr_Med	4	Rhodophyta_2763	Florideophyceae_2806	Halymeniales_50289	Halymeniaceae_31453			COInr_Med_plus	4	Rhodophyta_2763	Florideophyceae_2806	Halymeniales_50289	Halymeniaceae_31453		
MBPK_000005034	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	6	Annelida_6340	Polychaeta_6341	Phyllodocida_6348	Syllidae_122238	Eusyllis_199553	Eusyllis_assimilis_-35158
MBPK_000005311	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000005317	COInr	3	Porifera_6040	Demospongiae_6042	Dictyoceratida_119428				COInr-WO_Insecta	3	Porifera_6040	Demospongiae_6042	Dictyoceratida_119428				COInr_Med	4	Porifera_6040	Demospongiae_6042	Dictyoceratida_119428	Thorectidae_121495			COInr_Med_plus	4	Porifera_6040	Demospongiae_6042	Dictyoceratida_119428	Thorectidae_121495		
MBPK_000005334	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000005401	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000005417	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000005775	COInr	5	Annelida_6340	Polychaeta_6341	Eunicida_65495	Eunicidae_104737	Eunice_73379		COInr-WO_Insecta	5	Annelida_6340	Polychaeta_6341	Eunicida_65495	Eunicidae_104737	Eunice_73379		COInr_Med	5	Annelida_6340	Polychaeta_6341	Eunicida_65495	Eunicidae_104737	Eunice_73379		COInr_Med_plus	6	Annelida_6340	Polychaeta_6341	Eunicida_65495	Eunicidae_104737	Eunice_73379	Eunice_vittata_188451
MBPK_000005847	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000005966	COInr	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Myriaporidae_475379	Myriapora_475380	Myriapora_truncata_475381	COInr-WO_Insecta	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Myriaporidae_475379	Myriapora_475380	Myriapora_truncata_475381	COInr_Med	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Myriaporidae_475379	Myriapora_475380	Myriapora_truncata_475381	COInr_Med_plus	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Myriaporidae_475379	Myriapora_475380	Myriapora_truncata_475381
MBPK_000006048	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006080	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006126	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006269	COInr	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677				COInr-WO_Insecta	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677				COInr_Med	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677				COInr_Med_plus	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677			
MBPK_000006279	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006308	COInr	6	Arthropoda_6656	Malacostraca_6681	Amphipoda_6821	Dexaminidae_1352100	Dexamine_1453334	Dexamine_spiniventris_1920384	COInr-WO_Insecta	6	Arthropoda_6656	Malacostraca_6681	Amphipoda_6821	Dexaminidae_1352100	Dexamine_1453334	Dexamine_spiniventris_1920384	COInr_Med	6	Arthropoda_6656	Malacostraca_6681	Amphipoda_6821	Dexaminidae_1352100	Dexamine_1453334	Dexamine_spiniventris_1920384	COInr_Med_plus	6	Arthropoda_6656	Malacostraca_6681	Amphipoda_6821	Dexaminidae_1352100	Dexamine_1453334	Dexamine_spiniventris_1920384
MBPK_000006466	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006559	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006596	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006628	COInr	0							COInr-WO_Insecta	3	Arthropoda_6656	Malacostraca_6681	Decapoda_6683				COInr_Med	0							COInr_Med_plus	0						
MBPK_000006773	COInr	5	Mollusca_6447	Gastropoda_6448	Nudibranchia_70849	Dotidae_71468	Doto_71469		COInr-WO_Insecta	5	Mollusca_6447	Gastropoda_6448	Nudibranchia_70849	Dotidae_71468	Doto_71469		COInr_Med	0							COInr_Med_plus	0						
MBPK_000006805	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006879	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006888	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006896	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000006982	COInr	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812		COInr-WO_Insecta	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812		COInr_Med	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812		COInr_Med_plus	5	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677	Alcyoniidae_40678	Sarcophyton_51812	
MBPK_000007072	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000007170	COInr	3	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017				COInr-WO_Insecta	3	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017				COInr_Med	3	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017				COInr_Med_plus	3	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017			
MBPK_000007200	COInr	3	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017				COInr-WO_Insecta	3	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017				COInr_Med	4	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017	Furcellariaceae_28018			COInr_Med_plus	4	Rhodophyta_2763	Florideophyceae_2806	Gigartinales_28017	Furcellariaceae_28018		
MBPK_000007236	COInr	6	Cnidaria_6073	Hydrozoa_6074	Anthoathecata_406427	Bougainvilliidae_168713	Bougainvillia_168714	Bougainvillia_muscus_308567	COInr-WO_Insecta	6	Cnidaria_6073	Hydrozoa_6074	Anthoathecata_406427	Bougainvilliidae_168713	Bougainvillia_168714	Bougainvillia_muscus_308567	COInr_Med	6	Cnidaria_6073	Hydrozoa_6074	Anthoathecata_406427	Bougainvilliidae_168713	Bougainvillia_168714	Bougainvillia_muscus_308567	COInr_Med_plus	6	Cnidaria_6073	Hydrozoa_6074	Anthoathecata_406427	Bougainvilliidae_168713	Bougainvillia_168714	Bougainvillia_muscus_308567
MBPK_000007346	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000007578	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000007607	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000007803	COInr	4	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Delesseriaceae_31386			COInr-WO_Insecta	4	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Delesseriaceae_31386			COInr_Med	4	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Delesseriaceae_31386			COInr_Med_plus	4	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Delesseriaceae_31386		
MBPK_000007932	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008131	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008203	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008412	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008507	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008523	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008707	COInr	5	Porifera_6040	Demospongiae_6042	Suberitida_1779162	Suberitidae_55660	Aaptos_237077		COInr-WO_Insecta	5	Porifera_6040	Demospongiae_6042	Suberitida_1779162	Suberitidae_55660	Aaptos_237077		COInr_Med	5	Porifera_6040	Demospongiae_6042	Suberitida_1779162	Suberitidae_55660	Aaptos_237077		COInr_Med_plus	5	Porifera_6040	Demospongiae_6042	Suberitida_1779162	Suberitidae_55660	Aaptos_237077	
MBPK_000008728	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008873	COInr	0							COInr-WO_Insecta	0							COInr_Med	5	Mollusca_6447	Bivalvia_6544	Mytilida_6546	Mytilidae_6547	Musculus_112137		COInr_Med_plus	5	Mollusca_6447	Bivalvia_6544	Mytilida_6546	Mytilidae_6547	Musculus_112137	
MBPK_000008902	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008965	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000008966	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009058	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009139	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009364	COInr	3	Porifera_6040	Demospongiae_6042	Poecilosclerida_27925				COInr-WO_Insecta	3	Porifera_6040	Demospongiae_6042	Poecilosclerida_27925				COInr_Med	4	Porifera_6040	Demospongiae_6042	Poecilosclerida_27925	Hymedesmiidae_252956			COInr_Med_plus	4	Porifera_6040	Demospongiae_6042	Poecilosclerida_27925	Hymedesmiidae_252956		
MBPK_000009365	COInr	4	Porifera_6040	Demospongiae_6042	Clionaida_1779155	Clionaidae_76784			COInr-WO_Insecta	4	Porifera_6040	Demospongiae_6042	Clionaida_1779155	Clionaidae_76784			COInr_Med	4	Porifera_6040	Demospongiae_6042	Clionaida_1779155	Clionaidae_76784			COInr_Med_plus	4	Porifera_6040	Demospongiae_6042	Clionaida_1779155	Clionaidae_76784		
MBPK_000009384	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009464	COInr	3	Rhodophyta_2763	Florideophyceae_2806	Peyssonneliales_-35115				COInr-WO_Insecta	3	Rhodophyta_2763	Florideophyceae_2806	Peyssonneliales_-35115				COInr_Med	0							COInr_Med_plus	0						
MBPK_000009565	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009623	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009716	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009908	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009921	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000009958	COInr	3	Nemertea_6217	Enopla_6225	Monostilifera_6227				COInr-WO_Insecta	3	Nemertea_6217	Enopla_6225	Monostilifera_6227				COInr_Med	5	Nemertea_6217	Enopla_6225	Monostilifera_6227	Tetrastemmatidae_35726	Tetrastemma_77592		COInr_Med_plus	5	Nemertea_6217	Enopla_6225	Monostilifera_6227	Tetrastemmatidae_35726	Tetrastemma_77592	
MBPK_000010027	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
